Symbol,HGNC_ID,URL
ACAD10,21597,https://identifiers.org/hgnc:21597
ACAD11,30211,https://identifiers.org/hgnc:30211
ACAD8,87,https://identifiers.org/hgnc:87
ACAD9,21497,https://identifiers.org/hgnc:21497
ACADL,88,https://identifiers.org/hgnc:88
ACADM,89,https://identifiers.org/hgnc:89
ACADS,90,https://identifiers.org/hgnc:90
ACADSB,91,https://identifiers.org/hgnc:91
ACADVL,92,https://identifiers.org/hgnc:92
ACAN,319,https://identifiers.org/hgnc:319
ACAP1,16467,https://identifiers.org/hgnc:16467
ACAP2,16469,https://identifiers.org/hgnc:16469
ACAP3,16754,https://identifiers.org/hgnc:16754
ACAT1,93,https://identifiers.org/hgnc:93
ACAT2,94,https://identifiers.org/hgnc:94
ACBD3,15453,https://identifiers.org/hgnc:15453
ACBD4,23337,https://identifiers.org/hgnc:23337
ACBD5,23338,https://identifiers.org/hgnc:23338
ACBD6,23339,https://identifiers.org/hgnc:23339
ACBD7,17715,https://identifiers.org/hgnc:17715
ACCS,23989,https://identifiers.org/hgnc:23989
ACCSL,34391,https://identifiers.org/hgnc:34391
ACD,25070,https://identifiers.org/hgnc:25070
ACE,2707,https://identifiers.org/hgnc:2707
ACE2,13557,https://identifiers.org/hgnc:13557
ACER1,18356,https://identifiers.org/hgnc:18356
ACER2,23675,https://identifiers.org/hgnc:23675
ACER3,16066,https://identifiers.org/hgnc:16066
ACHE,108,https://identifiers.org/hgnc:108
ACIN1,17066,https://identifiers.org/hgnc:17066
ACKR1,4035,https://identifiers.org/hgnc:4035
ACKR2,1565,https://identifiers.org/hgnc:1565
ACKR3,23692,https://identifiers.org/hgnc:23692
ACKR4,1611,https://identifiers.org/hgnc:1611
ACLY,115,https://identifiers.org/hgnc:115
ACMSD,19288,https://identifiers.org/hgnc:19288
ACO1,117,https://identifiers.org/hgnc:117
ACO2,118,https://identifiers.org/hgnc:118
ACOD1,33904,https://identifiers.org/hgnc:33904
ACOT1,33128,https://identifiers.org/hgnc:33128
ACOT11,18156,https://identifiers.org/hgnc:18156
ACOT12,24436,https://identifiers.org/hgnc:24436
ACOT13,20999,https://identifiers.org/hgnc:20999
ACOT2,18431,https://identifiers.org/hgnc:18431
ACOT4,19748,https://identifiers.org/hgnc:19748
ACOT6,33159,https://identifiers.org/hgnc:33159
ACOT7,24157,https://identifiers.org/hgnc:24157
ACOT8,15919,https://identifiers.org/hgnc:15919
ACOT9,17152,https://identifiers.org/hgnc:17152
ACOX1,119,https://identifiers.org/hgnc:119
ACOX2,120,https://identifiers.org/hgnc:120
ACOX3,121,https://identifiers.org/hgnc:121
ACOXL,25621,https://identifiers.org/hgnc:25621
ACP1,122,https://identifiers.org/hgnc:122
ACP2,123,https://identifiers.org/hgnc:123
ACP3,125,https://identifiers.org/hgnc:125
ACP4,14376,https://identifiers.org/hgnc:14376
ACP5,124,https://identifiers.org/hgnc:124
ACP6,29609,https://identifiers.org/hgnc:29609
ACP7,33781,https://identifiers.org/hgnc:33781
ACR,126,https://identifiers.org/hgnc:126
ACRBP,17195,https://identifiers.org/hgnc:17195
ACRP1,54745,https://identifiers.org/hgnc:54745
ACRV1,127,https://identifiers.org/hgnc:127
ACSBG1,29567,https://identifiers.org/hgnc:29567
ACSBG2,24174,https://identifiers.org/hgnc:24174
ACSF2,26101,https://identifiers.org/hgnc:26101
ACSF3,27288,https://identifiers.org/hgnc:27288
ACSL1,3569,https://identifiers.org/hgnc:3569
ACSL3,3570,https://identifiers.org/hgnc:3570
ACSL4,3571,https://identifiers.org/hgnc:3571
ACSL5,16526,https://identifiers.org/hgnc:16526
ACSL6,16496,https://identifiers.org/hgnc:16496
ACSM1,18049,https://identifiers.org/hgnc:18049
ACSM2A,32017,https://identifiers.org/hgnc:32017
ACSM2B,30931,https://identifiers.org/hgnc:30931
ACSM3,10522,https://identifiers.org/hgnc:10522
ACSM4,32016,https://identifiers.org/hgnc:32016
ACSM5,26060,https://identifiers.org/hgnc:26060
ACSM6,31665,https://identifiers.org/hgnc:31665
ACSS1,16091,https://identifiers.org/hgnc:16091
ACSS2,15814,https://identifiers.org/hgnc:15814
ACSS3,24723,https://identifiers.org/hgnc:24723
ACTA1,129,https://identifiers.org/hgnc:129
ACTA2,130,https://identifiers.org/hgnc:130
ACTB,132,https://identifiers.org/hgnc:132
ACTBL2,17780,https://identifiers.org/hgnc:17780
ACTBP1,134,https://identifiers.org/hgnc:134
ACTBP9,142,https://identifiers.org/hgnc:142
ACTC1,143,https://identifiers.org/hgnc:143
ACTG1,144,https://identifiers.org/hgnc:144
ACTG1P21,51501,https://identifiers.org/hgnc:51501
ACTG1P22,51502,https://identifiers.org/hgnc:51502
ACTG2,145,https://identifiers.org/hgnc:145
ACTL10,16127,https://identifiers.org/hgnc:16127
ACTL6A,24124,https://identifiers.org/hgnc:24124
ACTL6B,160,https://identifiers.org/hgnc:160
ACTL7A,161,https://identifiers.org/hgnc:161
ACTL7B,162,https://identifiers.org/hgnc:162
ACTL8,24018,https://identifiers.org/hgnc:24018
ACTL9,28494,https://identifiers.org/hgnc:28494
ACTMAP,24758,https://identifiers.org/hgnc:24758
ACTN1,163,https://identifiers.org/hgnc:163
ACTN2,164,https://identifiers.org/hgnc:164
ACTN3,165,https://identifiers.org/hgnc:165
ACTN4,166,https://identifiers.org/hgnc:166
ACTR10,17372,https://identifiers.org/hgnc:17372
ACTR1A,167,https://identifiers.org/hgnc:167
ACTR1B,168,https://identifiers.org/hgnc:168
ACTR2,169,https://identifiers.org/hgnc:169
ACTR3,170,https://identifiers.org/hgnc:170
ACTR3B,17256,https://identifiers.org/hgnc:17256
ACTR3C,37282,https://identifiers.org/hgnc:37282
ACTR5,14671,https://identifiers.org/hgnc:14671
ACTR6,24025,https://identifiers.org/hgnc:24025
ACTR8,14672,https://identifiers.org/hgnc:14672
ACTRT1,24027,https://identifiers.org/hgnc:24027
ACTRT2,24026,https://identifiers.org/hgnc:24026
ACTRT3,24022,https://identifiers.org/hgnc:24022
ACVR1,171,https://identifiers.org/hgnc:171
ACVR1B,172,https://identifiers.org/hgnc:172
ACVR1C,18123,https://identifiers.org/hgnc:18123
ACVR2A,173,https://identifiers.org/hgnc:173
ACVR2B,174,https://identifiers.org/hgnc:174
ACVRL1,175,https://identifiers.org/hgnc:175
ACY1,177,https://identifiers.org/hgnc:177
ACY3,24104,https://identifiers.org/hgnc:24104
ACYP1,179,https://identifiers.org/hgnc:179
ACYP2,180,https://identifiers.org/hgnc:180
ADA,186,https://identifiers.org/hgnc:186
ADA2,1839,https://identifiers.org/hgnc:1839
ADAD1,30713,https://identifiers.org/hgnc:30713
ADAD2,30714,https://identifiers.org/hgnc:30714
ADAM10,188,https://identifiers.org/hgnc:188
ADAM11,189,https://identifiers.org/hgnc:189
ADAM12,190,https://identifiers.org/hgnc:190
ADAM15,193,https://identifiers.org/hgnc:193
ADAM17,195,https://identifiers.org/hgnc:195
ADAM18,196,https://identifiers.org/hgnc:196
ADAM19,197,https://identifiers.org/hgnc:197
ADAM2,198,https://identifiers.org/hgnc:198
ADAM20,199,https://identifiers.org/hgnc:199
ADAM21,200,https://identifiers.org/hgnc:200
ADAM22,201,https://identifiers.org/hgnc:201
ADAM23,202,https://identifiers.org/hgnc:202
ADAM28,206,https://identifiers.org/hgnc:206
ADAM29,207,https://identifiers.org/hgnc:207
ADAM30,208,https://identifiers.org/hgnc:208
ADAM32,15479,https://identifiers.org/hgnc:15479
ADAM33,15478,https://identifiers.org/hgnc:15478
ADAM7,214,https://identifiers.org/hgnc:214
ADAM8,215,https://identifiers.org/hgnc:215
ADAM9,216,https://identifiers.org/hgnc:216
ADAMDEC1,16299,https://identifiers.org/hgnc:16299
ADAMTS1,217,https://identifiers.org/hgnc:217
ADAMTS10,13201,https://identifiers.org/hgnc:13201
ADAMTS12,14605,https://identifiers.org/hgnc:14605
ADAMTS13,1366,https://identifiers.org/hgnc:1366
ADAMTS14,14899,https://identifiers.org/hgnc:14899
ADAMTS15,16305,https://identifiers.org/hgnc:16305
ADAMTS16,17108,https://identifiers.org/hgnc:17108
ADAMTS17,17109,https://identifiers.org/hgnc:17109
ADAMTS18,17110,https://identifiers.org/hgnc:17110
ADAMTS19,17111,https://identifiers.org/hgnc:17111
ADAMTS2,218,https://identifiers.org/hgnc:218
ADAMTS20,17178,https://identifiers.org/hgnc:17178
ADAMTS3,219,https://identifiers.org/hgnc:219
ADAMTS4,220,https://identifiers.org/hgnc:220
ADAMTS5,221,https://identifiers.org/hgnc:221
ADAMTS6,222,https://identifiers.org/hgnc:222
ADAMTS7,223,https://identifiers.org/hgnc:223
ADAMTS7P4,49410,https://identifiers.org/hgnc:49410
ADAMTS8,224,https://identifiers.org/hgnc:224
ADAMTS9,13202,https://identifiers.org/hgnc:13202
ADAMTSL1,14632,https://identifiers.org/hgnc:14632
ADAMTSL2,14631,https://identifiers.org/hgnc:14631
ADAMTSL3,14633,https://identifiers.org/hgnc:14633
ADAMTSL4,19706,https://identifiers.org/hgnc:19706
ADAMTSL5,27912,https://identifiers.org/hgnc:27912
ADAP1,16486,https://identifiers.org/hgnc:16486
ADAP2,16487,https://identifiers.org/hgnc:16487
ADAR,225,https://identifiers.org/hgnc:225
ADARB1,226,https://identifiers.org/hgnc:226
ADARB2,227,https://identifiers.org/hgnc:227
ADAT1,228,https://identifiers.org/hgnc:228
ADAT2,21172,https://identifiers.org/hgnc:21172
ADAT3,25151,https://identifiers.org/hgnc:25151
ADCK1,19038,https://identifiers.org/hgnc:19038
ADCK2,19039,https://identifiers.org/hgnc:19039
ADCK5,21738,https://identifiers.org/hgnc:21738
ADCY1,232,https://identifiers.org/hgnc:232
ADCY10,21285,https://identifiers.org/hgnc:21285
ADCY10P1,44143,https://identifiers.org/hgnc:44143
ADCY2,233,https://identifiers.org/hgnc:233
ADCY3,234,https://identifiers.org/hgnc:234
ADCY4,235,https://identifiers.org/hgnc:235
ADCY5,236,https://identifiers.org/hgnc:236
ADCY6,237,https://identifiers.org/hgnc:237
ADCY7,238,https://identifiers.org/hgnc:238
ADCY8,239,https://identifiers.org/hgnc:239
ADCY9,240,https://identifiers.org/hgnc:240
ADCYAP1,241,https://identifiers.org/hgnc:241
ADCYAP1R1,242,https://identifiers.org/hgnc:242
ADD1,243,https://identifiers.org/hgnc:243
ADD2,244,https://identifiers.org/hgnc:244
ADD3,245,https://identifiers.org/hgnc:245
ADGB,21212,https://identifiers.org/hgnc:21212
ADGRA1,13838,https://identifiers.org/hgnc:13838
ADGRA2,17849,https://identifiers.org/hgnc:17849
ADGRA3,13839,https://identifiers.org/hgnc:13839
ADGRB1,943,https://identifiers.org/hgnc:943
ADGRB2,944,https://identifiers.org/hgnc:944
ADGRB3,945,https://identifiers.org/hgnc:945
ADGRD1,19893,https://identifiers.org/hgnc:19893
ADGRD2,18651,https://identifiers.org/hgnc:18651
ADGRE1,3336,https://identifiers.org/hgnc:3336
ADGRE2,3337,https://identifiers.org/hgnc:3337
ADGRE3,23647,https://identifiers.org/hgnc:23647
ADGRE5,1711,https://identifiers.org/hgnc:1711
ADGRF1,18990,https://identifiers.org/hgnc:18990
ADGRF2P,18991,https://identifiers.org/hgnc:18991
ADGRF3,18989,https://identifiers.org/hgnc:18989
ADGRF4,19011,https://identifiers.org/hgnc:19011
ADGRF5,19030,https://identifiers.org/hgnc:19030
ADGRG1,4512,https://identifiers.org/hgnc:4512
ADGRG2,4516,https://identifiers.org/hgnc:4516
ADGRG3,13728,https://identifiers.org/hgnc:13728
ADGRG4,18992,https://identifiers.org/hgnc:18992
ADGRG5,19010,https://identifiers.org/hgnc:19010
ADGRG6,13841,https://identifiers.org/hgnc:13841
ADGRG7,19241,https://identifiers.org/hgnc:19241
ADGRL1,20973,https://identifiers.org/hgnc:20973
ADGRL2,18582,https://identifiers.org/hgnc:18582
ADGRL3,20974,https://identifiers.org/hgnc:20974
ADGRL4,20822,https://identifiers.org/hgnc:20822
ADGRV1,17416,https://identifiers.org/hgnc:17416
ADH1A,249,https://identifiers.org/hgnc:249
ADH1B,250,https://identifiers.org/hgnc:250
ADH1C,251,https://identifiers.org/hgnc:251
ADH4,252,https://identifiers.org/hgnc:252
ADH5,253,https://identifiers.org/hgnc:253
ADH6,255,https://identifiers.org/hgnc:255
ADH7,256,https://identifiers.org/hgnc:256
ADHFE1,16354,https://identifiers.org/hgnc:16354
ADI1,30576,https://identifiers.org/hgnc:30576
ADIG,28606,https://identifiers.org/hgnc:28606
ADIPOQ,13633,https://identifiers.org/hgnc:13633
ADIPOR1,24040,https://identifiers.org/hgnc:24040
ADIPOR2,24041,https://identifiers.org/hgnc:24041
ADIRF,24043,https://identifiers.org/hgnc:24043
ADISSP,15873,https://identifiers.org/hgnc:15873
ADK,257,https://identifiers.org/hgnc:257
